capability_id	class_role_content_state	donor_commit_symbols	tortoise_impl_registration_activation	target_data_requirements	disposition	reason	dependencies	packet	scenarios	evidence	limitations	source_present	registered	selected	contract_tested	client_accepted
ENGINE-DUALHOOK	Engine state-aware + vector strategy hooks	—	T: ai/playerbot/strategy/Engine.cpp dual feed (InitMultipliers/InitTriggers both forms + dual getDefaultActions)	—	implement	VERDICT (M2): intentional complementary coexistence, zero true duplicates; neither entry retired	M0	M2	—	EVIDENCE.md M2	Proven complementary	yes	yes	yes	no	no
QUEUE-NAME-ID	Queue coalescing by action name	—	T: ai/playerbot/strategy/Queue.cpp:10-33	—	implement	Test repeated requests/changed targets/equal relevance before changing identity	M0	M2	—	EVIDENCE.md M0	—	yes	yes	yes	no	no
SPELL-RANK-NUMERIC	SpellId mana-save numeric-ID ordering	—	T: ai/playerbot/strategy/values/SpellIdValue.cpp:169-181	Tortoise rank chains/custom same-name spells	implement	Validate against real Tortoise rank chains; numeric IDs are not rank order	M0	M3	—	EVIDENCE.md M0	—	yes	yes	yes	no	no
CONFIG-GETVALUES-EMPTY	ConfigAccess::GetValues returns empty	—	T: ai/playerbot/PlayerbotAIConfig.cpp:23-26; consumer WorldBuff load :443-451	Native config facility or module-local parser	implement	Confirmed loader gap; WorldBuff config inert	F20	F20	P22	EVIDENCE.md M0	WorldBuff config has no effect	yes	yes	yes	no	no
AH-PRICE-MIRROR-EMPTY	LoadAuctionPrices clears mirror	—	T: runtime/PlayerbotRuntimeFacade.cpp:271-278; ItemUsageValue median/lowest/resale consumers	Bounded native read model via CORE GetAuctions	implement	Populated bounded cache with faction scoping and unit price accuracy	F09	F09	P09	EVIDENCE.md M0	Bounded to lowest 64 unit-price listings per item	yes	yes	yes	yes	no
GUILDBANK-ZERO-FALSE	GuildBankAction false-return ZERO path	—	T: ai/playerbot/strategy/actions/GuildBankAction.cpp:11-39	Same in S under MANGOSBOT_ZERO; no native guild vaults	implement	Map only real target guild storage or record unsupported	F19	F19	—	EVIDENCE.md M0	No working vault either side	yes	yes	no	no	no
LLM-GENERATE-EMPTY	LLM Generate returns empty	—	T: ai/playerbot/PlayerbotLLMInterface.cpp:376-379; S Generate also empty per plan §11	No external provider; non-LLM chat required	implement	No functioning donor generator; LLM optional, never gameplay dependency	F23	F23	—	EVIDENCE.md M0	Generation disabled	yes	yes	no	no	no
KARAZHAN-DENYLIST	CMAKE KARAZHAN denylist vs Tortoise content	—	T: TortoiseBots.cmake:179 (DEATHKNIGHT|GLYPH|VEHICLE|KARAZHAN|ARENA|RTSC|BOSSAURA); CORE native Lower/Upper/Crypt scripts (ScriptLoader.cpp:291,305)	Tortoise map/mechanics review	implement	Denylist must not reject valid Tortoise Karazhan; narrow guard only if needed	M0/F22	F24	P24	EVIDENCE.md M0	Needs per-file review	yes	yes	no	no	no
CAST-USEFUL-PERMISSIVE	CastSpellAction::isUseful allows unresolved spells	—	T: ai/playerbot/strategy/actions/GenericSpellActions.cpp:161-174; SpellCastUsefulValue.cpp:14-20	—	implement	Test missing-primary-with-fallback + alternatives before porting early rejection	M0	M3	—	EVIDENCE.md M0	Divergence confirmed, root cause unproven	yes	yes	yes	no	no
M-DK-NOTAPPLICABLE	Death Knight class (modern donor 10th dir)	M: src/Ai/Class/Dk/ (DKAiObjectContext, Blood/Frost/Unholy) @5397110c	Not present (CMake DEATHKNIGHT denylist)	No Tortoise DK data	exclude	Expansion-only; no Vanilla/Tortoise DK	semantic-scope	C-WAR..C-WLK (unaffected)	—	EVIDENCE.md M0 (ModernDonorCensus)	Donor dir exists, excluded by design	no	yes	n/a	no	no
