class	preset/role	level	point_budget	talent_allocations	learning_order	unlocked_abilities	rationale
Warrior	arms	60	51	arms 40: TM5 Defl5 Rend2 Charge2 TC3 MS1 OP2 DeepW3 2H3 Impale2 MoA5 SS1 BA3 Slam2 Mortal1; fury dip 11: Cruelty5 UW5 PH1	TM→Defl→Rend/Charge/MS→TC/OP→DeepW/2H→Impale/MoA→SS/Mortal→BA/Slam→Cruelty→UW/PH	Mortal Strike 40, Sweeping Strikes, Master Strike row2	Arms 2H DPS; PH snare; fury crit dip; prot tree untouched
Warrior	arms	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Mortal at 45 (31 pts, needs 30 below)	signature path prioritized; validated by tools/talents/validate_presets.py
Warrior	fury	60	51	fury 34: Cruelty5 UW5 DWSpec5 PH1 ImpShouts4 DeathWish1 Execute2 BloodCraze2 Flurry5 Bloodthirst1 Ravager3; arms dip 17: TM5 Rend2 Defl3 OP2 DeepW3 Impale2	Cruelty→UW→DWSpec/PH→ImpShouts/DWish→Execute/BloodCraze→Flurry→Bloodthirst→Ravager→arms dip (TM/Rend/Defl/OP/DeepW/Impale)	Death Wish 30, Flurry 35, Bloodthirst 40, Impale 60	Signature Dual-Wield PvE Fury DPS; Whirlwind CD reduction via Ravager; Deep Wounds + Impale critical bonus dip; validates clean
Warrior	fury	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Bloodthirst at 40, Impale at 60	validates clean (tools/talents/validate_presets.py)
Warrior	protection	60	51	prot 44: ImpBloodrage2 ShieldSpec5 Anticipation3 Toughness5 LastStand1 ImpTaunt2 ImpRevenge3 GagOrder2 Defiance5 1HSpec5 ShieldSlam1 ImpShieldSlam2 Reprisal2 ImpShieldWall2 DefTactics3 ConcussionBlow1; arms dip 7: ImpHeroicStrike3 TM4	ShieldSpec/Bloodrage/Antic→Toughness→LastStand/Taunt/Revenge→GagOrder/Defiance→ShieldSlam/ImpShieldSlam/Reprisal/1HSpec→ShieldWall/DefTactics/ConcussionBlow→arms dip	Last Stand 20, Shield Slam 40, Concussion Blow 50	Main Tank PvE build; Gag Order silence/dispel utility; max threat & mitigation; validates clean
Warrior	protection	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Shield Slam at 40, Concussion Blow at 50	validates clean (tools/talents/validate_presets.py)
Paladin	holy	60	51	holy 40: DivIntellect5 HolyJudgement3 SpiritualFocus2 HealingLight3 ImpLoH2 ImpConcAura3 Illumination5 Ironclad2 DivFavor5 HolyShock1 HolyPower3 BlessedStrikes5 Daybreak1; prot dip 11: ImpDevoAura5 GuardFavor2 Toughness4	DivIntellect→HolyJudgement/SpiritualFocus→HealingLight/LoH→Illumination/ConcAura/Ironclad→HolyShock/DivFavor→HolyPower/BlessedStrikes→Daybreak→prot dip	Holy Shock 35, Divine Favor 40, Daybreak 45	Pure PvE Healer; Daybreak shielding heal on crit; Blessed Strikes Holy Shock reset; validates clean
Paladin	holy	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Holy Shock at 35, Daybreak at 45	validates clean (tools/talents/validate_presets.py)
Paladin	protection	60	51	prot 38: Redoubt5 Precision3 GuardFavor1 Toughness2 ImpRF3 BoSanc1 ShieldSpec3 Anticipation3 ImpHandReckoning2 RighteousDef3 HolyShield1 Reckoning5 RighteousStrikes5 Bulwark1; ret dip 8: Benediction5 ImpJudgement2 Defl1; holy dip 5: DivStrength5	Redoubt→Precision/Toughness→ImpRF/BoSanc/ShieldSpec/Antic→HandReckoning→HolyShield/RighteousDef/Reckoning→RighteousStrikes→Bulwark→ret dip→holy dip	Holy Shield 40, Bulwark of the Righteous 50	Dungeon/Raid Tank; Bulwark of the Righteous mitigation slam; Righteous Strikes threat scaling; validates clean
Paladin	protection	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Holy Shield at 40, Bulwark at 50	validates clean (tools/talents/validate_presets.py)
Paladin	retribution	60	51	ret 40: Benediction5 ImpJudgement2 Defl5 ImpCrusader3 Conviction5 Kings1 PursuitJustice2 2HSpec3 EyeForEye2 Vengeance5 SealCommand1 VengefulStrikes5 Repentance1; holy dip 11: DivStrength5 DivIntellect5 SanctityAura1	Benediction→ImpJudgement/Defl→Conviction/Kings/Pursuit/2HSpec→SealCommand/Vengeance→VengefulStrikes/Repentance/ImpCrusader/EyeForEye→holy dip (DivStrength/DivIntellect/SanctityAura)	Seal of Command 35, Repentance 45, Sanctity Aura 60	True 2H Retribution DPS; Sanctity Aura +10% Holy damage aura; Vengeful Strikes haste/strength synergy; validates clean
Paladin	retribution	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Seal of Command at 35, Repentance at 45, Sanctity at 60	validates clean (tools/talents/validate_presets.py)
Hunter	beastmastery	60	51	bm 45: SwiftAspects5 EndTrain5 ThickHide3 ImpRevivePet2 CoordAssault1 UnleashedFury5 BestialDiscipline2 ImpMendPet2 Ferocity5 ScentOfBlood3 BestialWrath1 Intimidation1 BestialPrecision2 SpiritBond2 Frenzy5 KillCommand1; mm dip 6: Efficiency5 ImpStings1	SwiftAspects/EndTrain→ThickHide/RevivePet→CoordAssault/UnleashedFury→BestialDiscipline/MendPet/Ferocity→ScentOfBlood/BestialWrath/Intimidation→BestialPrecision/SpiritBond/Frenzy→KillCommand→mm dip	Bestial Wrath 40, Frenzy 45, Kill Command 50	High-damage Pet DPS; Kill Command signature capstone; Bestial Wrath + Frenzy burst; validates clean
Hunter	beastmastery	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Bestial Wrath at 40, Kill Command at 50	validates clean (tools/talents/validate_presets.py)
Hunter	marksmanship	60	51	mm 42: Efficiency5 ImpStings5 LethalShots5 HawkEye2 AimedShot1 Swiftshot3 EndlessQuiver2 MortalShots5 ExperimentalAmmo1 PiercingShots2 Barrage3 ImpMarksmanship2 RangedWeaponSpec5 LockAndLoad1; bm dip 9: SwiftAspects5 ImpEyes2 ImpPrimalAspects2	Efficiency/ImpStings/LethalShots→HawkEye/AimedShot/Swiftshot→EndlessQuiver/MortalShots→ExperimentalAmmo/PiercingShots/Barrage→ImpMarksmanship/RangedWeaponSpec→LockAndLoad→bm dip	Aimed Shot 20, Mortal Shots 30, Lock and Load 50	Ranged Physical DPS; Lock and Load free shot procs; Aimed Shot + Mortal Shots crit burst; validates clean
Hunter	marksmanship	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Aimed Shot at 20, Lock and Load at 50	validates clean (tools/talents/validate_presets.py)
Hunter	survival	60	51	surv 43: Slay3 Res5 Entrap3 Sav2 WC3 Plan2 Surv5 Carve1 Det1 Nettle2 Sure3 Killer3 TrapMast3 Lac1 LR5 Untamed1; BM dip 8: EndTrain5 Thick3	Slay→Res→traps→Carve→Nettle/Sure→Killer/TrapM/Lac→LR→Untamed→BM dip	Lacerate needs Carve; Untamed needs TrapMast3	Tortoise melee kit; BM dip for pet; MM tree untouched
Hunter	survival	10-55	1-46	same chain, truncated per level	monotonic checkpoints	Carve at 35, Lacerate at 50	validates clean
Rogue	combat	60	51	combat 31: Opportunity5 ImpBackstab3 Precision5 ImpSprint2 DWSpec5 SurpriseAttack1 HackAndSlash2 WeaponExpertise2 BladeRush2 Aggression3 AdrenalineRush1; assa dip 20: Malice5 Ruthlessness3 Murder2 ImpBladeTactics3 RelentlessStrikes1 Lethality5 TasteForBlood1	Opportunity/Precision/ImpBackstab→ImpSprint/DWSpec→SurpriseAttack/HackAndSlash/WeaponExpertise→BladeRush/Aggression→AdrenalineRush→assa dip (Malice/Ruthless/Murder/Relentless/Lethality)	Dual Wield Spec 30, Blade Rush 35, Adrenaline Rush 40	Dual-Wield Sword/Axe PvE DPS; Adrenaline Rush + Blade Rush energy engine; Hack and Slash extra attacks; validates clean
Rogue	combat	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Dual Wield Spec at 30, Adrenaline Rush at 40	validates clean (tools/talents/validate_presets.py)
Rogue	assassination	60	51	assa 40: Malice5 Ruthlessness3 Murder2 ImpBladeTactics3 RelentlessStrikes1 Lethality5 TasteForBlood2 VilePoisons3 ImpPoisons3 EfficientPoisons3 Envenom1 ColdBlood1 Vigor2 SealFate5 NoxiousAssault1; combat dip 11: Opportunity5 ImpBackstab3 Precision3	Malice/Ruthless/Murder/BladeTactics→Relentless/Lethality/TasteForBlood→VilePoisons/ImpPoisons→EfficientPoisons/Envenom/ColdBlood→Vigor/SealFate→NoxiousAssault→combat dip	Cold Blood 35, Seal Fate 45, Noxious Assault 50	Poison-focused Dagger DPS; Noxious Assault twin-weapon poison strike; Cold Blood guaranteed crit; validates clean
Rogue	assassination	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Cold Blood at 35, Noxious Assault at 50	validates clean (tools/talents/validate_presets.py)
Rogue	subtlety	60	51	subt 41: Camou5 Expose2 Gouge3 Ambush3 Elusive2 Serr3 Init3 Ghostly3 Smoke1 Hem1 Cloak2 BJ2 Dirty2 Prep1 Shadow1 Bloody2 Honor2 Tricks2 Mark1; assa dip 10: Malice5 Ruthless3 Murder2	Hemorrhage core → Ghostly/Smoke → Prep/Shadow → Bloody → Mark → assa crit dip	Mark needs Prep; Bloody needs Hem; Blind Haze skipped (situational)	dagger control; Cold Blood n/a (assa); validated clean
Rogue	subtlety	10-55	1-46	same chain, truncated per level	monotonic checkpoints	Hem at 30, Mark at 45	validates clean
Priest	discipline	60	51	disc 40: Wand2 Pierce3 Silent5 Unbreak5 Fort2 InnerFire2 Focus1 Shield3 Medit3 Searing3 MStr3 Enlighten1 Resurgent1 ForceWill5 Chastise1; holy dip 11: Renew3 HolyFocus2 Divinity5 Fury1	Wand→ mitigation/shield core → Inner Focus → Enlighten/Resurgent → ForceWill/Chastise → holy dip	Chastise needs Enlighten; Resurgent needs Shield3	Tortoise Disc rationale: holy-damage/support + shield + Enlighten/Chastise; healer-role variant usable; NOT Wrath shield-healer
Priest	discipline	10-55	1-46	same chain, truncated per level	monotonic checkpoints	Enlighten at 45, Chastise at 50	validates clean
Priest	holy	60	51	holy 37: ImpRenew3 HolyFocus2 DivineFury5 HolyReach2 Inspiration3 EmpoweredRecovery2 ImpHealing3 SpiritualGuidance5 BookOfPrayer2 SpiritRedemption1 ReservoirOfLight3 SpiritualHealing5 Ascendance1; disc dip 14: WandSpec2 MentalAgility5 SilentResolve2 BlessedConc2 ImpFort2 InnerFocus1	ImpRenew/HolyFocus→DivineFury/HolyReach→Inspiration/ImpHealing/SpiritualGuidance→BookOfPrayer/SpiritRedemption/ReservoirOfLight→SpiritualHealing→Ascendance→disc dip	Spirit of Redemption 35, Ascendance 45, Inner Focus 60	Raid/Dungeon Healer; Ascendance empowered healing form; Inspiration physical mitigation; validates clean
Priest	holy	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Spirit of Redemption at 35, Ascendance at 45	validates clean (tools/talents/validate_presets.py)
Priest	shadow	60	51	shadow 31: ImpMindBlast5 ShadowAffinity2 ImpSWP2 ShadowFocus5 MindFlay1 ShadowReach2 ShadowWeaving5 VampEmbrace1 VampTouch2 Darkness5 Shadowform1; disc dip 20: WandSpec2 MentalAgility5 UnbreakWill4 ImpFort2 InnerFocus1 ImpPWShield3 Meditation3	ImpMindBlast/ShadowAffinity/ImpSWP/ShadowFocus→MindFlay→ShadowReach/ShadowWeaving→VampEmbrace/VampTouch→Darkness→Shadowform→disc dip (MentalAgility/InnerFocus/Shield/Meditation)	Mind Flay 20, Shadowform 40, Meditation 60	Shadow DoT & Party Utility DPS; Vampiric Touch mana battery + Vampiric Embrace party heals; Meditation in-combat regen; validates clean
Priest	shadow	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Mind Flay at 20, Shadowform at 40, Meditation at 60	validates clean (tools/talents/validate_presets.py)
Shaman	elemental	60	51	elem 42: Conv5 Concuss5 Grasp1 Ward3 Devast3 Focus1 Reverb3 Thunder5 FireTot2 Flame3 Reach2 EM1 Fury2 LightMast5 EQ1; resto dip 9: HW5 Focus4	Conv/Concuss → shocks/totems → Thunder → EM → LightMast → EQ → resto dip	EQ needs EM; LightMast needs Thunder5	caster DPS; enh tree untouched; validated clean
Shaman	elemental	10-55	1-46	same chain, truncated per level	monotonic checkpoints	EM at 40, EQ at 45	validates clean
Shaman	enhancement	60	51	enh 34: AncestralKnowledge5 ThunderingStrikes5 StableShields3 CalmingWinds3 LightningStrike1 Flurry5 EnhancingTotems2 ElemWeapons3 Stormstrike1 ShamansGrace5 Bloodlust1; elem dip 17: Convection5 Concussion5 ElemWarding3 ElemDevastation3 ElemFocus1	AncestralKnowledge→ThunderingStrikes/StableShields→LightningStrike/CalmingWinds→Flurry→Stormstrike/ElemWeapons/EnhTotems→ShamansGrace/Bloodlust→elem dip	Stormstrike 40, Bloodlust 50, Elemental Devastation 60	Melee Windfury/Stormstrike DPS; Bloodlust capstone; Elemental Devastation melee crit synergy; validates clean
Shaman	enhancement	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Stormstrike at 40, Bloodlust at 50	validates clean (tools/talents/validate_presets.py)
Shaman	restoration	60	51	resto 38: ImpHW5 TidalFocus5 AncestralHealing3 HealingWay3 HealingFocus2 TotemicMastery1 RestorativeTotems5 ImpWaterShield3 TidalSurge2 AncestralSwiftness1 Undertow2 ImpChainHeal5 SpiritLink1; elem dip 13: Convection5 EarthsGrasp2 ElemWarding3 ElemFocus1	ImpHW/TidalFocus→AncestralHealing→HealingWay/HealingFocus/TotemicMastery→RestorativeTotems/WaterShield→AncestralSwiftness/TidalSurge/Undertow→ImpChainHeal→SpiritLink→elem dip	Ancestral Swiftness 40, Spirit Link 50	Raid/Dungeon Healer; Spirit Link party damage distribution; Chain Heal & Water Shield throughput; validates clean
Shaman	restoration	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Ancestral Swiftness at 40, Spirit Link at 50	validates clean (tools/talents/validate_presets.py)
Mage	arcane	60	51	arc 40: Subtlety2 ImpAM5 ArcConc5 ArcImpact3 ArcRupture1 TempConv3 ImpCS2 ArcInstab3 PoM1 AccelArc1 ArcPot2 ArcMed3 ArcPower1 ResonCasc5 MagicAbsorb3; frost dip 11: ImpFrostbolt5 ElemPrec3 PiercingIce3	Subtlety/AM/Conc→Impact/Rupture/TempConv/CS→Instab/PoM/Accel/Pot/Med→ArcPower/ResonCasc→frost dip (Frostbolt/ElemPrec/Piercing)	Arcane Power 40, PoM 30, Elemental Precision 55	Arcane burst PvE DPS; Elemental Precision hit cap; 0 in Wand Spec; validates clean
Mage	arcane	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	PoM at 30, Arcane Power at 40	validates clean (tools/talents/validate_presets.py)
Mage	fire	60	51	fire 41: ImpFireball5 Ignite5 FlameThrow2 ImpFireBlast3 Pyroblast1 Incin2 FireVuln3 MasterElem3 CritMass3 HotStreak2 FirePower5 Combustion1 BurningSoul2 ImpFlamestrike3 BlastWave1; arc dip 10: ArcSubtlety2 MagicAbsorb3 ArcConc5	ImpFireball→Ignite→FlameThrow/FireBlast→Pyroblast/Incin/FireVuln→MasterElem/CritMass→HotStreak/FirePower→Combustion→BurningSoul/Flamestrike/BlastWave→arc dip (Subtlety/Conc)	Hot Streak 30, Combustion 40, Arcane Concentration 60	Fire DPS powerhouse; 5/5 Clearcasting + -40% threat dip; 0 in Wand Spec; validates clean
Mage	fire	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Pyroblast at 20, Hot Streak at 30, Combustion at 40	validates clean (tools/talents/validate_presets.py)
Mage	frost	60	51	frost 41: ImpFrostbolt5 ElemPrec3 ImpNova2 PiercingIce3 IceShards5 ColdSnap1 ArcticReach2 FrostChan3 Shatter5 IceBlock1 Icicles1 WinterChill5 FlashFreeze2 ImpConeCold2 IceBarrier1; arc dip 10: ArcSubtlety2 MagicAbsorb3 ArcConc5	ImpFrostbolt/ElemPrec/Nova→Piercing/IceShards/ColdSnap→ArcticReach/FrostChan/Shatter→IceBlock/Barrier/Icicles/WinterChill/FlashFreeze/ConeCold→arc dip (Subtlety/Conc)	Ice Block 35, Ice Barrier 40, Shatter 30	Deep Frost control/shatter PvE DPS; 5/5 Clearcasting + threat dip; 0 in Wand Spec; validates clean
Mage	frost	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Cold Snap at 25, Shatter at 30, Ice Barrier at 40	validates clean (tools/talents/validate_presets.py)
Warlock	affliction	60	51	aff 40: ImpCorr5 ImpLifeTap2 ResilShadow3 ImpCoA3 FelConc2 Nightfall2 GrimReach2 SoulSiphon3 SiphonLife1 RapidDeter2 SM5 DarkHarvest1 Suppress5 Malediction1 ImpDrains2 CoEx1; destro dip 11: Cata5 Bane5 SB1	ImpCorr/LifeTap/Resil→CoA/Conc→Nightfall/Grim/SS→SiphonLife/RapidDeter→SM→DarkHarvest→Suppress/Maled/Drains/CoEx→destro dip (Cata/Bane/SB)	Dark Harvest 40, Shadow Mastery 40, Nightfall 20	Dark Harvest sustained DoT DPS; 0 in Demonic Sacrifice; Bane -0.5s SB cast dip; validates clean
Warlock	affliction	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Dark Harvest at 40 (31 pts), Bane at 55	validates clean (tools/talents/validate_presets.py)
Warlock	demonology	60	51	demo 44: DemoEmbrace5 DemoAegis3 FelIntellect3 FelDom1 FelStam5 MasterSumm2 UnholyPower3 PowerOverwhelm1 DemoPrecision3 MasterDemo5 SoulLink1 UnleashPot3 NetherStudies3 ImpStones2 SinisterPursuit2 SoulFunnel2; aff dip 7: ImpCorr5 ImpLifeTap2	Embrace/Aegis/Intellect→Dom/Stam→Summoner/Unholy→PowerOverwhelm/Precision→MasterDemo→SoulLink/Unleash/Nether/Stones/Sinister/Funnel→aff dip (Corr/LifeTap)	Power Overwhelming 30, Soul Link 40	Master Demonologist + Soul Link pet tankiness/scaling; Power Overwhelming burst; instant Corruption dip
Warlock	demonology	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Power Overwhelming at 30, Soul Link at 40	validates clean (tools/talents/validate_presets.py)
Warlock	destruction	60	51	destro 44: Cata5 Bane5 SB1 Devast5 DR2 SV5 Ruin1 Immol5 Conf1 Ember5 DS2 ISF2 Int2 Pyro2 After1; aff dip 7: ImpCorr5 ImpLifeTap2	Cata→Bane→SB→Devast→DR/SV→Ruin/Immol→Conf/Ember→DS→aff dip (Corr/LifeTap)→ISF/Int/Pyro/After	Conflagrate 40, Ruin 30, Instant Corruption 50	Deep Conflagrate PvE DPS; instant Corruption + Life Tap support; 0 in Imp Searing Pain; demo tree untouched
Warlock	destruction	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Conflagrate at 40 (30 pts), instant Corr at 50	validates clean (tools/talents/validate_presets.py)
Druid	balance	60	51	balance 38: ImpWrath5 ImpMoonfire2 NaturalWeapons3 Moonfury3 OmenClarity1 NaturesReach2 Vengeance5 Moonglow3 OwlkinFrenzy3 MoonkinForm1 NaturesGrace1 ImpStarfire3 BalanceOfAllThings3 GaleWinds2 Eclipse1; resto dip 13: ImpMotW5 ImpHealingTouch3 Subtlety5	ImpWrath/ImpMoonfire/NaturalWeapons→Moonfury/OmenClarity/NaturesReach→Vengeance/Moonglow→OwlkinFrenzy/MoonkinForm/NaturesGrace/ImpStarfire→BalanceOfAllThings/GaleWinds→Eclipse→resto dip	Moonkin Form 35, Eclipse 45, Subtlety 60	Caster Arcane/Nature DPS; Eclipse Wrath/Starfire alternation; Moonkin Form aura + Subtlety -20% threat; validates clean
Druid	balance	10-55	1-46	same chain, truncated per level	monotonic 5-level checkpoints from builder	Moonkin Form at 35, Eclipse at 45	validates clean (tools/talents/validate_presets.py)
Druid	feral (shared Bear/Cat)	60	51	single Feral 11.1 chain	existing order	Bear + Cat behavior split at runtime, not in talents	one Feral tree serves two jobs: forced role (tank→Bear, dps→Cat) + form maintain triggers arbitrate; separate allocations unjustified — shared build with documented rationale per plan
