class	tree/role	root_spell	ranks	name	acquisition	active/passive/triggered	effective_source	required_talent/equip/form/target	action	trigger	situation_strategy	disposition	reason	test_id	validation
Warrior	Protection	12975	1	Last Stand	trainer	active	tw_world_spell_template + spell_warrior.cpp:296-308	none	last stand	critical health	protection combat	automatic	emergency mitigation	audit-census	implemented-unverified
Warrior	Protection	12809	4	Concussion Blow	trainer	active	tw_world_spell_template + spell_threat	m none	concussion blow	concussion blow	protection combat+cc	automatic	threat+stun, donor interrupt intent	audit-census	implemented-unverified
Warrior	Fury	-	1	Piercing Howl	trainer	active	spell rows (donor FuryWarriorStrategy)	none	piercing howl	hamstring	arms/fury cc	automatic-via-hamstring	aoe snare, no independent trigger	audit-census	implemented-unverified
Warrior	Arms	12292	1	Sweeping Strikes	trainer	active	spell_warrior.cpp:481-540	none	sweeping strikes	melee light aoe	arms aoe	automatic	proc cleave, trigger class orphaned	audit-census	implemented-unverified
Warrior	Arms/Fury	54023	1	Master Strike	trainer 6683	active	spell_template + spell_warrior.cpp:354-392 + trainer row	main-hand weapon	master strike	master strike	arms/fury combat	automatic	weapon-dispatched nuke, 30s/20rage	batch2	implemented-unverified
Warrior	Protection	51606	3	Defensive Tactics	talent	passive	spell_warrior.cpp:450-471	none	none	none	none	passive	threat aura battle/berserker+shield	audit-census	core-handled
Mage	Arcane	12042	1	Arcane Power	talent	active	tw_world_spell_template + spell_mage.cpp:678-716	arcane talent	arcane power	arcane power	arcane boost	automatic-gated	70% mana floor, CANT_CANCEL lethal	batch1	implemented-unverified
Mage	Arcane	51949	2	Arcane Rupture	talent	active	spell_mage.cpp:622-639	arcane talent	none (missiles default)	none	arcane combat	passive-synergy	buff 52502 boosts missiles, smoke-test pending	mage-census	unverified
Priest	Holy/Discipline	-	-	Power Word: Shield	trainer	active	spell_priest.cpp:357-363	none	power word: shield	heal ladder	holy/disc combat	automatic-guarded	Weakened Soul 6788 refusal added	batch3	implemented-unverified
Priest	Discipline/Shadow	51478	3	Chastise (hostile)	talent	active	spell_priest.cpp:424-469	chastise talent	chastise	chastise	priest cc	automatic	disorient CC at INTERRUPT	batch3	implemented-unverified
Priest	Discipline	51478	3	Chastise (friendly)	talent	active	spell_priest.cpp:426-448	chastise talent + raid/lvl/health	explicit cast	none	none	situational-manual	core OnCheckCast guards, no auto trigger	batch3	implemented-unverified
Priest	Holy	51476	5	Enlighten	talent	passive	spell_priest.cpp:308-355,640-700	enlighten talent	none	none	none	passive	proc on Holy casts, server-owned	priest-census	core-handled
Priest	Holy	52962	1	Ascendance	talent (needs Spirit of Redemption)	active	tw_world_spell_template, DBC-driven, no script needed	holy tree	ascendance	ascendance	holy boost	automatic	Holy capstone: CC purge + heal throughput	batch14	implemented-unverified
Hunter	Survival	51575	2	Carve	trainer skill 51	active	no core script, shared cat CD	none	carve	carve	survival aoe	automatic	below multi-shot (HIGH-1), core serializes CD	batch6	implemented-unverified
Hunter	Survival	48049	1	Lacerate	trainer skill 51	active	spell_hunter.cpp:313-364 + SpellMgr exclusivity	none	lacerate	none	none	situational-manual	serpent-sting churn risk, auto deferred	batch6	implemented-unverified
Mage	Frost	52516	4	Icicles	talent	active	spell_mage.cpp:467-580	frost talent + health/aggro	icicles	icicles	frost combat	automatic-gated	root+shatter risk, channel check	batch5	implemented-unverified
Mage	all	12051	1	Evocation	trainer	active	base spell	none	evocation	low mana + channel check	mage combat	automatic	cancel at 95% mana	batch5	implemented-unverified
Rogue	Assassination	-	-	Sinister Strike / Backstab	trainer	active	base spells	none	backstab	sinister strike/backstab	assassination combat	automatic	generator gap closed via backstab node	batch7	implemented-unverified
Rogue	Combat	52511	1	Surprise Attack	talent skill 38	active	spell_rogue.cpp:158-177	reactive dodge	surprise attack	surprise attack	combat combat	automatic	dodge window via core CheckCast	batch7	implemented-unverified
Rogue	Assassination	52714	4	Noxious Assault	talent skill 253	active	spell_rogue.cpp:179-200	none	noxious assault	noxious assault	assassination combat	automatic	+30% AP + MH/OH poisons	batch7	implemented-unverified
Rogue	Assassination	52531	1	Envenom	talent skill 253	active	spell_affect + CP-scaled duration	3CP + missing aura	envenom	envenom	assassination combat	automatic	poison-buff upkeep beside slice	batch14	implemented-unverified
Rogue	Subtlety	52710	1	Shadow of Death	talent skill 39	active	spell_rogue.cpp:559-619	5CP + durable target	shadow of death	shadow of death	subtlety combat	automatic	snapshot CP, banked detonate	batch14	implemented-unverified
Rogue	Subtlety	52538	1	Mark for Death	talent skill 39	active	spell_rogue.cpp:202-233	fresh durable target	mark for death	mark for death	subtlety combat	automatic	undodgeable + party AP opener	batch14	implemented-unverified
Druid	Restoration	45705	1	Tree of Life Form	talent	active	spell_druid.cpp:570-579 + template row	none	tree form	tree form	resto buff	automatic	spirit-scaling heal aura, caster-form exits	batch16	implemented-unverified
Warlock	Destruction	-	-	Rain of Fire channel	trainer	active	WarlockTriggers.cpp	none	cancel channel	rain of fire channel check	warlock aoe	automatic	re-enabled via shared creator	batch5	implemented-unverified
Warlock	Affliction	52550	1	Dark Harvest	talent	active	spell_warlock.cpp:305-324,883-963	2+ own DoTs	dark harvest	dark harvest	affliction combat	automatic	30s CD refunded on target death	batch8	implemented-unverified
Warlock	Demonology	51714	1	Power Overwhelming	talent	active	spell_warlock.cpp:1700-1737	pet 60%+	power overwhelming	power overwhelming	demonology combat	automatic	pet CC break + burst, health cost	batch8	implemented-unverified
Paladin	Retribution/Protection	679	8	Holy Strike	trainer	active	0.71 coeff + Mending Light	none	holy strike	holy strike	ret/prot combat	automatic	melee filler + sustain	batch9	implemented-unverified
Paladin	Protection	51346	2	Bulwark of the Righteous	talent 6397	active	spell_template verified	prot + shield	bulwark of the righteous	bulwark of the righteous	prot combat	automatic	shield attack + DR, 5min cat	batch9	implemented-unverified
Paladin	all	-	-	Exorcism	trainer	active	base spell	art of war OR undead/demon	exorcism	exorcism	ret/prot combat	automatic-gated	was mana-only, wasted on wrong types	batch9	implemented-unverified
Druid	Feral Bear/Cat	45708	1	Berserk	talent	active	spell_druid.cpp:495-568	feral	berserk	berserk	feral boost	automatic	Cat 45710 / Bear 45709 + form-swap	batch10	implemented-unverified
Druid	Restoration	18562	1	Swiftmend	trainer	active	spell_druid.cpp:349-383	live HoT	swiftmend	(critical triggers)	resto combat	automatic	consumes shortest HoT, HoT-gated	batch10	implemented-unverified
Shaman	Elemental	48306	3	Earthquake	talent	active	spell_shaman.cpp:1495-1544	none	earthquake	ranged medium aoe	elemental aoe	automatic	primary-safe splash + 4s aftershock	batch11	implemented-unverified
Shaman	Enhancement	51387	1	Lightning Strike	talent	active	nature ranks + shield script	lightning shield	lightning strike	lightning strike	enhancement combat	automatic	shield-charge release	batch11	implemented-unverified
Shaman	Restoration	51363	1	Spirit Link	talent	active	no script, DBC-driven	live tank	spirit link on party tank	spirit link on party tank	resto combat	automatic	tank recipient + group dupe guard	batch11	implemented-unverified
Shaman	Restoration	16188	1	Ancestral Swiftness	talent	active	no script, DBC-driven	none	ancestral swiftness	ancestral swiftness	resto boost + combat	automatic	HW pairing via active-aura trigger	batch11	implemented-unverified
Shaman	Enhancement	45509	1	Bloodlust	talent	active	no script, DBC-driven	none	bloodlust	bloodlust	enhancement boost	automatic	self frenzy + party melee-crit proc	batch11	implemented-unverified
Rogue	Combat	-	-	Adrenaline Rush / Blade Flurry	trainer	active	base spells	none	adrenaline rush / blade flurry	adrenaline rush / blade flurry	combat boost	automatic	moved from non-combat dead wiring	batch7	implemented-unverified
Shaman	Elemental	16166	1	Elemental Mastery	talent	active	template row, DBC-driven	none	elemental mastery	elemental mastery	elemental boost	automatic	damage + mana-reduction buff	batch15	implemented-unverified
Warrior	all	-	-	Heroic Strike / Cleave / Slam	trainer	active	base spells	rage	heroic strike / cleave / slam	heroic strike / whirlwind	arms/fury combat	automatic	rage dumps after reserve	warrior-census	implemented-unverified
Warrior	all	-	-	Charge / Intercept / Hamstring / Rend / Thunder Clap	trainer	active	base spells	stance/melee	charge / intercept / hamstring / rend / thunder clap	enemy out of melee / hamstring / rend	warrior combat+cc	automatic	shared kit	batch2	implemented-unverified
Warrior	Protection	-	-	Taunt / Revenge / Shield Block / Shield Wall / Disarm	trainer	active	base spells	defensive stance	taunt / revenge / shield block / shield wall	taunt / revenge / shield block	protection combat	automatic	stance creators registered batch12	warrior-census	implemented-unverified
Warrior	all	-	-	Pummel / Shield Bash / Berserker Rage / Bloodrage / Shouts	trainer	active	base spells	stance	interrupt + shouts	interrupt triggers	warrior combat+cc	automatic	pummel/intercept stance-gated batch12	warrior-census	implemented-unverified
Warrior	all	-	-	Execute	trainer	active	base spells	target low health	execute	target critical health	warrior combat	automatic	finisher	warrior-census	implemented-unverified
Warrior	Fury	-	-	Bloodthirst / Whirlwind / Death Wish / Recklessness	trainer+talent	active	base spells	none	bloodthirst / whirlwind / death wish / recklessness	bloodthirst / whirlwind	fury combat+boost	automatic	pre-existing	warrior-census	implemented-unverified
Warrior	Arms	-	-	Mortal Strike / Overpower	trainer+talent	active	base spells	none	mortal strike / overpower	mortal strike / overpower	arms combat	automatic	pre-existing	warrior-census	implemented-unverified
Priest	all	-	-	Lesser/Greater/Flash Heal + Renew + Prayer of Healing	trainer	active	base spells	healer role	heal ladder	health band triggers	holy/disc combat	automatic	20/50/70/90 ladder preserved	batch3	implemented-unverified
Priest	all	-	-	Dispel Magic / Cure Disease / Resurrection	trainer	active	base spells	none	dispel / cure / resurrection	cure + rez triggers	priest cure/noncombat	automatic	reach preserved	batch3	implemented-unverified
Priest	Shadow	-	-	SW:P / Mind Blast / Mind Flay / Vampiric Embrace / Silence	trainer+talent	active	base spells	none	shadow kit	shadow triggers	shadow combat	automatic	Spirit Tap 15271 + Weaving 15258 ID-gated	priest-census	implemented-unverified
Priest	all	-	-	Shadowform / Inner Focus / Holy Nova / Psychic Scream	trainer+talent	active	spell_priest shadowform penalty	none	form + nova + scream	form/cc triggers	priest combat+cc	automatic	remove-shadowform prereqs on heals	batch3	implemented-unverified
Priest	all	-	-	Racials (Elune/Desperate/Starshards/Devouring/Hex/etc)	racial	active	base spells	race	racial actions	some triggerless	priest combat	automatic/situational	action-complete, some manual	priest-census	implemented-unverified
Mage	all	-	-	Fireball / Frostbolt / Missiles / Fire Blast / Scorch	trainer	active	base spells	none	filler kit	spec defaults	arcane/fire/frost combat	automatic	defaults preserved	mage-census	implemented-unverified
