behavior	donor_sha	donor_file	donor_symbol	local_owner	keep/adapt/reject	incompatibility	tortoise_replacement
Arcane Power boost	mod-playerbots@b949b50	Ai/Class/Mage/MageActions.h + MageTriggers.h	CastArcanePowerAction/ArcanePowerTrigger	MageActions.h/MageTriggers.h	adapt	Wrath version safe; Tortoise 12042 drains mana and kills <10%, CANT_CANCEL	70% mana gate trigger+action, prevention-only safety
Life Tap sustain/pet/channel	TortoiseBots#92 (merged PRs #95/#96)	warlock strategies/actions/triggers	LifeTap/pet/AoE fixes	warlock/*	keep	—	preserve; extend with regression evidence
Last Stand fallback	mod-playerbots@b949b50	Ai/Class/Warrior/WarriorActions.h + TankWarriorStrategy.cpp	last stand + intimidating shout	WarriorActions.h/ProtectionWarriorStrategy.cpp	adapt	skip enraged regeneration (later expansion)	critical-health emergency trigger kept
Concussion Blow interrupt	mod-playerbots@b949b50	Ai/Class/Warrior/*	concussion blow interrupt	WarriorActions.h/WarriorTriggers.h/ProtectionWarriorStrategy.cpp	adapt	Tortoise threat x1.5 + stun	rotation HIGH+4 plus CC INTERRUPT
Sweeping Strikes cleave	mod-playerbots@b949b50	Ai/Class/Warrior/Strategy/GenericWarriorStrategy.cpp	sweeping strikes aoe	ArmsWarriorStrategy.cpp	adapt	donor numeric priority meaningless locally	light-aoe trigger + 12292 multipliers
Master Strike weapon nuke	none (Tortoise-custom)	tortoise-wow spell_warrior.cpp:354-392	spell_warrior_master_strike	WarriorActions.h/WarriorTriggers.h/AiObjectContext/Arms/Fury	adapt (new)	donor has no counterpart	weapon-gated action+trigger, 30s/20rage
PW:S Weakened Soul guard	mod-playerbots@b949b50	Ai/Class/Priest/PriestActions.cpp:39-94	HasAnyAuraOf WS guard	PriestActions.h	adapt	donor has multiple tier actions; local has two	6788 refusal in shield self+party actions
Chastise CC	shyalya@83a61bc	strategy/priest/PriestStrategy.cpp:892-894	chastise in CC	PriestStrategy.cpp	adapt	local trigger is SNARE-based; Shyalya fires as CC	INTERRUPT trigger in PriestCcStrategy
Chastise friendly haste	tortoise-wow spell_priest.cpp:426-448	spell_priest_chastise OnCheckCast	friendly haste	none (manual cast)	adapt	no auto trigger to avoid mis-buffing	core raid/level/health guards, situational/manual
Enlighten proc	tortoise-wow	spell_priest.cpp:308-355,640-700	passive proc	none (server-owned)	keep	—	no bot surface needed
Arcane Blast stacks/Missile Barrage/Frostfire	mod-playerbots@b949b50 (WotLK)	various	—	none	reject	no local spell/template evidence	do not import by name
Devastate/Shockwave/Spell Reflection/Heroic Throw/Rampage/Bladestorm	mod-playerbots@b949b50 (later)	various	—	none	reject	later-expansion names, no Tortoise rows	do not import
Binding Heal/Circle of Healing/Penance/Power Word barrier	mod-playerbots@b949b50 (WotLK)	various	—	none	reject	no Tortoise acquisition	do not import
CancelChannelAction resurrection	mod-playerbots@5397110 + shyalya@1f9497e	actions/CancelChannelAction.h/.cpp	none (class existed, zero creators)	ActionContext.h	adapt	class existed but unregistered; all cancel-channel NextActions were NULL	re-enabled #92 RoF fix + druid/hunter/mage trees
Icicles channel pattern	TortoiseBots#92 (RainOfFireChannelCheckTrigger)	warlock/WarlockTriggers.cpp+WarlockTriggers.h	RainOfFireChannelCheckTrigger	MageTriggers.h/.cpp	adapt	single-target validity vs aoe-density	icicles/evocation channel checks
Kill Command intent	mod-playerbots@b949b50	Ai/Class/Hunter/Strategy	kill command trigger pattern	HunterTriggers.h	adapt	donor buff-model wrong for Tortoise damage-spell	core-gated can-cast + live-pet, no DBC guessing
Assassination generator	TortoiseBots local	backstab->sinister node (existing)	backstab node	AssassinationRogueStrategy.cpp	adapt (reuse)	trigger was missing, node existed	backstab trigger reuses node fallback
Surprise Attack reactive	TortoiseBots local	RiposteCastTrigger	RiposteCastTrigger	RogueTriggers.cpp	adapt	same REACTIVE gate family, melee sanity mirrored	core OnCheckCast enforces dodge window
Carve/Lacerate placement	Tortoise core	spell_hunter.cpp + SpellMgr exclusivity	area/single mechanics	HunterStrategies	adapt	Lacerate auto deferred (serpent churn)	Carve HIGH-1, Lacerate manual
